who is mister perkowski;Doctor Perkowski is a cool guy;speech:tablet:perkowksi
where are the research greenhouses;the research greenhouse is continue to south west pedestrain trail from south west college street;speech:question:null
where is the native american student and community center; the NASAC center is near jackson street and south west broadway street;speech:question:null
where is peter stott center;the peter stott center is next to the millar library;speech:question:null
where is the millar library;the millar library is near the peter stott center on the south west pedestrain trail in the park blocks;speech:question:null
where are the blackstone appartments;the blackstone apartments are near south west pedestrain trail and harrison street cross ;speech:question:null
where is the peter stott field;the peter stott field is behind miller library on south west harrison street;speech:question:null
where is the science research and teaching center;the science research and teaching center is near south west mill street and south west eleventh avenue;speech:question:null
where are the vue apartments;the vue apartments are near south west mill street and south west park avenue cross ;speech:question:null
where is the science building;the science building is near south west eleventh avenue and south west market street;speech:question:null
where is parking structure two;parking structure two is near montgomery street cross and south west broadway crosss;speech:question:null
where is the school of education;the school of education is near south west harrison street and south west brodaway cross;speech:question:null
where is the school of business;the school of business is near south west harrison street and south west brodaway and cross;speech:question:null
where is parking structure one;parking structure one is near south west hall street andsouth west brodway cross;speech:question:null
where is east hall;east hall is near south west hall street cross near south west brodway cross;speech:question:null
where is the broadway building;the broadway building is near south west college street near south west bradway and ;speech:question:null
where is the market square building;the market square building is near south west sixth avenue and south west market street;speech:question:null
where is urban center;the urban center is near south west sixth avenue and south west mill street cross;speech:question:null
where is the academic and student rec center;The academic and student rec center is near south west sixth avenue and south west harrison street cross;speech:question:null
where is the university center building;the university center building is near south west sixth avenue and south west hall street cross;speech:question:null
where is the university pointe;the university pointe building is near south west sixth avenue and south west jackson street cross;speech:question:null
where is the market center building;the market center building near south west fourth and south west market street;speech:question:null
where is the fifth avenue parking lot;the fifth avenue building near south west fifth avenue and south west montgomery street cross;speech:question:null
where is the art building;the art building near south west licoln and south west jackson street ;speech:question:null
where is the science and education center;the science and education center is near south west fourth avenue and south west grant street;speech:question:null
where is the you knight us building;the unitus building next to Where is the science and educaion center on south west grant street;speech:question:null
where is the fourth avenue building;the fourth avenue building near south west fourth avenue and south west harrison street;speech:question:null
where is the city development center;the city development center is near to south west fourth avenue and south west hall street cross;speech:question:null
where is the engineering building;the engineering building is near south west fourth avenue and south west college street;speech:question:null
where is the tech tron ex lab;ECE Tektronix Lab is in the room number FAB 60-01;speech:question:null 
where is the vee ell ess eye lab; VLSI Design Lab is in room number FAB 60-19;speech:question:null
where is linux lab;The Linux Lab in the room number FAB 88-10;speech:question:null 
where is the proto typing lab; ECE Electronics Prototyping Lab is in room number FAB 60-10;speech:question:null 
what is the analog circuit design lab;Analog Circuit Design and Test laboratory has workstations and the necessary design and simulation software (Cadence, Mentor Graphics, Tektronix Analog Design System (ADE), Magic, SPICE) Director: Branimir Pejcinovic FAB 60-23;speech:question:null 
what is the biomedical signal processing lab;Biomedical Signal Processing Laboratory The mission of this laboratory is to increase our collective knowledge of how useful information can be extracted from physiologic signals. Director:James McNames FAB 89-02;speech:question:null 
what is the emulation lab;Emulation Laboratory - home to "Veloce" donated by Mentor Graphics is used to design, Embedded Systems Director: Malgorzata Chrzanowska-Jeske FAB 60-15;speech:question:null 
what is the evolve able systems lab;The purpose of Evolvable Systems Laboratory is to investigate how hardware can self-adapt, via autonomous reconfiguration, to compensate for failures or a changing operational environment. Director: Garrison Greenwood FAB 70-06;speech:question:null 
what is the eye see design lab;The goal of the Integrated Circuits Design and Test Laboratory is to become the local, regional and national focal point for innovative research and education in the area of integrated circuit design and test. Director: Robert Daasch FAB 60-24;speech:question:null 
what is the intelligent robotics lab;In the Intelligent Robotics Laboratory we design and program mobile, stationary and humanoid robots on levels of mechanical, electrical and software design. Director: Marek Perkowski FAB 70-09;speech:question:null 
what is the robotics lab;In the Intelligent Robotics Laboratory we design and program mobile, stationary and humanoid robots on levels of mechanical, electrical and software design. Director: Marek Perkowski FAB 70-09;speech:question:null 
what is the near lab;The mission of the NEAR-Lab is to develop knowledge of electromagnetic and acoustic wave scattering and propagation phenomenon in order to devise and evaluate advanced signal processing techniques. Director Lisa Zurk and Martin Siderius FAB 25-00,25-01;speech:question:null 
what is the pee gee ee lab;PGE Foundation Power Engineering Education Laboratory research within power engineering lab pertains to electrical power systems. Director: Robert Bass,FAB 25-03;speech:question:null 
what is the terra hertz lab;Terahertz Laboratory with four THz (and laser) equipment stations fully supported by instrumentation and computation workpaces. Director: Lisa Zurk, Director FAB 60-06;speech:question:null 
what is the teuscher lab;The mission of teuscher.:Lab is to study, rethink, model, and design the implementation of computations in living and non-living systems. Director: Christof Teuscher,FAB 60-11;speech:question:null 
what is the verification lab;The research objective of the verification lab is to explore modeling and validation techniques for reliable cyber-physical systems. Director: Xiaoyu Song,FAB 60-26;speech:question:null 
what is the vee eye pee lab;VIP Lab provides Motion Picture Expert Group (MPEG) portable analyzer, MPEG transport stream monitors, MPEG test systems for video analysis. Director: Fu Li, FAB 25-04;speech:question:null 
what is the vee ell ess eye lab;VLSI & Emerging Technologies Laboratory focuses on exciting 3D VLSI technology that enables easier integration of memory, analog, digital, RF, optical, MEMS, BioMEMS, sensors, and possibly bio-systems into one small package. Director: Malgorzata Chrzanowska-Jeske,FAB 60-17;speech:question:null 
where is the analog circuit design lab;The Analog Circuit Design and Test laboratory is in FAB 60-23;speech:question:null 
where is the biomedical signal processing lab;The Biomedical Signal Processing Laboratory is FAB 89-02;speech:question:null 
where is the emulation lab;The Emulation Laboratory is in FAB 60-15;speech:question:null 
where is the evolve able systems lab;The Evolvable Systems Laboratory is in FAB 70-06;speech:question:null 
where is the eye see design lab;The Integrated Circuits Design and Test Laboratory is in FAB 60-24;speech:question:null 
where is the intelligent robotics lab;The Intelligent Robotics Laboratory is in FAB 70-09;speech:question:null 
where is the robotics lab;The Intelligent Robotics Laboratory is in FAB 70-09;speech:question:null
where is the near lab;The NEAR-Lab is in FAB 25-00,25-01;speech:question:null 
where is the pee gee ee lab;The PGE Foundation Power Engineering Education Laboratory is in FAB 25-03;speech:question:null 
where is the terra hertz lab;The Terahertz Laboratory is in FAB 60-06;speech:question:null 
where is the teuscher lab;The Teuscher is in FAB 60-11;speech:question:null 
where is the verification lab;The research objective of the verification lab is in FAB 60-26;speech:question:null 
where is the vee eye pee lab;The VIP Lab is in FAB 25-04;speech:question:null 
where is the vee ell ess eye lab;The V.L.S.I. lab is in FAB 60-17;speech:question:null 
